countryname,Year,infant_mortality,us_length,Score,adult_literacy,imports,exports
Afghanistan,7,135.7,1,NA,NA,NA,NA
Afghanistan,8,131.3,2,NA,NA,NA,NA
Afghanistan,9,126.8,3,NA,NA,NA,NA
Afghanistan,10,122.5,4,NA,NA,NA,NA
Afghanistan,11,118.3,5,NA,NA,NA,NA
Afghanistan,12,114.4,6,NA,NA,NA,NA
Afghanistan,13,110.9,7,NA,NA,NA,NA
Afghanistan,14,107.7,8,NA,NA,NA,NA
Afghanistan,15,105,9,NA,NA,NA,NA
Afghanistan,16,102.7,10,NA,NA,NA,NA
Afghanistan,17,100.7,11,NA,NA,NA,NA
Afghanistan,18,98.9,12,NA,NA,NA,NA
Afghanistan,19,97.2,13,NA,NA,NA,NA
Afghanistan,20,95.4,14,NA,NA,NA,NA
Afghanistan,21,93.4,15,NA,NA,NA,NA
Afghanistan,22,91.2,16,NA,NA,NA,NA
Afghanistan,23,89,16,NA,NA,NA,NA
Afghanistan,24,86.7,16,NA,NA,NA,NA
Afghanistan,25,84.4,16,NA,NA,NA,NA
Afghanistan,26,82.3,16,NA,NA,NA,NA
Afghanistan,27,80.4,16,NA,NA,NA,NA
Afghanistan,28,78.6,16,NA,NA,NA,NA
Afghanistan,29,76.8,16,NA,NA,4067099313.62424,2110577455.85643
Afghanistan,30,75.1,16,NA,NA,5771312262.28347,2566011311.7345
Afghanistan,31,73.4,16,NA,31.4488506317139,7207299510.35062,3057796258.22522
Afghanistan,32,71.7,16,NA,NA,9817510132.90826,2339889153.51599
Afghanistan,33,69.9,16,NA,NA,10054634817.5823,1383202846.60124
Afghanistan,34,68.1,16,NA,NA,8246634993.00315,1985367815.21959
Afghanistan,35,66.3,16,NA,NA,8461684707.36777,1417300546.13462
Andorra,21,3.7,1,NA,NA,NA,NA
Andorra,22,3.5,2,NA,NA,NA,NA
Andorra,23,3.3,3,NA,NA,NA,NA
Andorra,24,3.2,4,NA,NA,NA,NA
Andorra,25,3.1,5,NA,NA,NA,NA
Andorra,26,2.9,6,NA,NA,NA,NA
Andorra,27,2.8,7,NA,NA,NA,NA
Andorra,28,2.7,8,NA,NA,NA,NA
Andorra,29,2.6,9,NA,NA,NA,NA
Andorra,30,2.5,9,NA,NA,NA,NA
Andorra,31,2.4,9,NA,NA,NA,NA
Andorra,32,2.3,9,NA,NA,NA,NA
Andorra,33,2.2,9,NA,NA,NA,NA
Andorra,34,2.1,9,NA,NA,NA,NA
Andorra,35,2.1,9,NA,NA,NA,NA
Austria,20,4.6,1,NA,NA,82683895338.1242,85305371291.6897
Austria,21,4.5,2,NA,NA,84695659955.2573,88047337807.6063
Austria,22,4.4,3,NA,NA,88826566911.3495,96701496329.7572
Austria,23,4.3,4,NA,NA,109433239277.652,116638893905.192
Austria,24,4.1,5,NA,NA,132172572634.716,141025428358.58
Austria,25,4,6,NA,NA,143496791443.85,153625979355.802
Austria,26,4,7,NA,NA,158748036632.794,170827273867.771
Austria,27,3.8,8,NA,NA,187241938133.041,204299603065.973
Austria,28,3.8,9,NA,NA,210090420389.629,229126805331.771
Austria,29,3.7,10,NA,NA,167491372603.501,180907557654.904
Austria,30,3.6,10,NA,NA,187158711051.024,200892688044.939
