country_name,sender_combination,startyearUS,endyearUS,sanctions_success,us_length,eu_length,un_length,Year,Exports
South Africa,EU-US-UN,1963,1998,1,35,7,32,1980,28496454297.965
South Africa,EU-US-UN,1963,1998,1,35,7,32,2015,95771761550.3463
Libya,EU-US,1978,2006,1,28,18,NA,2015,11127570228.7866
Myanmar,US,1989,2012,0,23,NA,NA,2015,15582395452.1719
Somalia,US-UN,1988,2011,1,23,NA,21,1980,200271074.389354
Sudan,US,1997,2017,0,20,NA,NA,1980,789333333.333333
Sudan,US,1997,2017,0,20,NA,NA,2015,6078941666.77287
Iraq,US,1984,2003,0,19,NA,NA,1980,33905858449.0349
Iraq,US,1984,2003,0,19,NA,NA,2015,62728271351.4641
Chile,US,1973,1990,1,17,NA,NA,1980,6292627054.01682
Chile,US,1973,1990,1,17,NA,NA,2015,71654520805.7733
Togo,EU-US,1992,2007,1,15,16,NA,1980,580273710.287221
Togo,EU-US,1992,2007,1,15,16,NA,2015,1498688202.5508
Guatemala,US,1990,2005,1,15,NA,NA,1980,1748000000
Guatemala,US,1990,2005,1,15,NA,NA,2015,12331463395.5165
Lebanon,US,1984,1997,1,13,NA,NA,2015,11553482873.3002
Haiti,US,1994,2006,1,12,NA,NA,2015,1745573767.79091
Burundi,EU-US-UN,1993,2005,1,12,8,1,1980,81022222.2222222
Burundi,EU-US-UN,1993,2005,1,12,8,1,2015,177973982.159024
Iraq,US-UN,1991,2003,0,12,NA,13,1980,33905858449.0349
Iraq,US-UN,1991,2003,0,12,NA,13,2015,62728271351.4641
Pakistan,US,2005,2015,NA,10,NA,NA,1980,2978282828.2828302
Pakistan,US,2005,2015,NA,10,NA,NA,2015,28690885214.612
Cambodia,EU-US-UN,1997,2007,1,10,2,1,2015,11140147276.578
Azerbaijan,US,1992,2002,1,10,NA,NA,2015,20059340230.3338
Bolivia,US,2000,2009,0,9,NA,NA,1980,1101141924.95922
Bolivia,US,2000,2009,0,9,NA,NA,2015,10186598842.2576
San Marino,US,2000,2009,NA,9,NA,NA,2015,2476172231.70798
Mali,US,2000,2009,0,9,NA,NA,1980,260555207.412358
Mali,US,2000,2009,0,9,NA,NA,2015,3150880397.82818
South Africa,US,2000,2009,0,9,NA,NA,1980,28496454297.965
South Africa,US,2000,2009,0,9,NA,NA,2015,95771761550.3463
Austria,US,2000,2009,NA,9,NA,NA,1980,26006990002.1272
Austria,US,2000,2009,NA,9,NA,NA,2015,202703358781.359
Finland,US,2000,2009,NA,9,NA,NA,1980,16534905961.1093
Finland,US,2000,2009,NA,9,NA,NA,2015,83008103045.7021
Saudi Arabia,US,1996,2005,NA,9,NA,NA,1980,104411278444.104
Saudi Arabia,US,1996,2005,NA,9,NA,NA,2015,218010394720
Afghanistan,US,1993,2002,0,9,NA,NA,2015,1417300546.13462
Sri Lanka,US,2008,2016,1,8,NA,NA,1980,1296672716.27344
Sri Lanka,US,2008,2016,1,8,NA,NA,2015,16937418651.537
Uzbekistan,EU-US,2004,2012,1,8,4,NA,2015,12548905306.0701
Paraguay,US,2001,2009,0,8,NA,NA,1980,615865079.365079
Paraguay,US,2001,2009,0,8,NA,NA,2015,11934366475.136
Croatia,US,2001,2009,0,8,NA,NA,2015,22972165113.8037
Costa Rica,US,2001,2009,0,8,NA,NA,1980,1279264877.47958
Costa Rica,US,2001,2009,0,8,NA,NA,2015,16884667693.8555
Sweden,US,2001,2009,NA,8,NA,NA,1980,38589321236.0507
Sweden,US,2001,2009,NA,8,NA,NA,2015,221067597699.186
Switzerland,US,2001,2009,NA,8,NA,NA,1980,56172585904.3982
Switzerland,US,2001,2009,NA,8,NA,NA,2015,422965463953.971
Peru,US,2001,2009,0,8,NA,NA,1980,4627898926.96435
Peru,US,2001,2009,0,8,NA,NA,2015,40404471800.0251
Pakistan,US,1990,1998,0,8,NA,NA,1980,2978282828.2828302
Pakistan,US,1990,1998,0,8,NA,NA,2015,28690885214.612
Malta,US,2002,2009,0,7,NA,NA,1980,1011865523.24136
Malta,US,2002,2009,0,7,NA,NA,2015,16477061799.6228
Ecuador,US,2002,2009,0,7,NA,NA,1980,3066326874.45054
Ecuador,US,2002,2009,0,7,NA,NA,2015,21107369000
Cyprus,US,2002,2009,0,7,NA,NA,1980,975007960.199005
