countryname,Year,infant_mortality,sender_combination,endyearUS,sanctions_success,us_length
Afghanistan,1987,135.7,US,1993,0,1
Afghanistan,1988,131.3,NA,NA,NA,2
Afghanistan,1989,126.8,NA,NA,NA,3
Afghanistan,1990,122.5,NA,NA,NA,4
Afghanistan,1991,118.3,NA,NA,NA,5
Afghanistan,1992,114.4,NA,NA,NA,6
Afghanistan,1993,110.9,US,2002,0,7
Afghanistan,1994,107.7,NA,NA,NA,8
Afghanistan,1995,105,NA,NA,NA,9
Afghanistan,1996,102.7,NA,NA,NA,10
Afghanistan,1997,100.7,NA,2002,0,11
Afghanistan,1998,98.9,NA,NA,NA,12
Afghanistan,1999,97.2,NA,NA,NA,13
Afghanistan,2000,95.4,NA,NA,NA,14
Afghanistan,2001,93.4,NA,NA,NA,15
Afghanistan,2002,91.2,US,2003,NA,16
Afghanistan,2003,89,NA,2003,NA,16
Afghanistan,2004,86.7,NA,NA,NA,16
Afghanistan,2005,84.4,NA,NA,NA,16
Afghanistan,2006,82.3,NA,NA,NA,16
Afghanistan,2007,80.4,NA,NA,NA,16
Afghanistan,2008,78.6,NA,NA,NA,16
Afghanistan,2009,76.8,NA,NA,NA,16
Afghanistan,2010,75.1,NA,NA,NA,16
Afghanistan,2011,73.4,NA,NA,NA,16
Afghanistan,2012,71.7,NA,NA,NA,16
Afghanistan,2013,69.9,NA,NA,NA,16
Afghanistan,2014,68.1,NA,NA,NA,16
Afghanistan,2015,66.3,NA,NA,NA,16
Andorra,2001,3.7,US,2009,NA,1
Andorra,2002,3.5,NA,NA,NA,2
Andorra,2003,3.3,NA,NA,NA,3
Andorra,2004,3.2,NA,NA,NA,4
Andorra,2005,3.1,NA,NA,NA,5
Andorra,2006,2.9,NA,NA,NA,6
Andorra,2007,2.8,NA,NA,NA,7
Andorra,2008,2.7,NA,NA,NA,8
Andorra,2009,2.6,NA,NA,NA,9
Andorra,2010,2.5,NA,NA,NA,9
Andorra,2011,2.4,NA,NA,NA,9
Andorra,2012,2.3,NA,NA,NA,9
Andorra,2013,2.2,NA,NA,NA,9
Andorra,2014,2.1,NA,NA,NA,9
Andorra,2015,2.1,NA,NA,NA,9
Austria,2000,4.6,US,2009,NA,1
Austria,2001,4.5,NA,NA,NA,2
Austria,2002,4.4,NA,NA,NA,3
Austria,2003,4.3,NA,NA,NA,4
Austria,2004,4.1,NA,NA,NA,5
Austria,2005,4,NA,NA,NA,6
Austria,2006,4,NA,NA,NA,7
Austria,2007,3.8,NA,NA,NA,8
Austria,2008,3.8,NA,NA,NA,9
Austria,2009,3.7,NA,NA,NA,10
Austria,2010,3.6,NA,NA,NA,10
Austria,2011,3.4,NA,NA,NA,10
Austria,2012,3.3,NA,NA,NA,10
Austria,2013,3.2,NA,NA,NA,10
Austria,2014,3,NA,NA,NA,10
Austria,2015,2.9,NA,NA,NA,10
Azerbaijan,1992,76,US,2002,1,1
Azerbaijan,1993,76.2,NA,NA,NA,2
Azerbaijan,1994,76.1,NA,NA,NA,3
Azerbaijan,1995,75.2,NA,NA,NA,4
Azerbaijan,1996,73.6,NA,NA,NA,5
Azerbaijan,1997,71.2,NA,NA,NA,6
Azerbaijan,1998,68.1,NA,NA,NA,7
Azerbaijan,1999,64.5,NA,NA,NA,8
Azerbaijan,2000,60.6,NA,NA,NA,9
Azerbaijan,2001,56.8,NA,NA,NA,10
Azerbaijan,2002,53.1,NA,NA,NA,11
Azerbaijan,2003,49.7,NA,NA,NA,11
Azerbaijan,2004,46.7,NA,NA,NA,11
Azerbaijan,2005,44,NA,NA,NA,11
Azerbaijan,2006,41.5,NA,NA,NA,11
Azerbaijan,2007,39.3,NA,NA,NA,11
Azerbaijan,2008,37.3,NA,NA,NA,11
Azerbaijan,2009,35.5,NA,NA,NA,11
Azerbaijan,2010,33.9,NA,NA,NA,11
Azerbaijan,2011,32.5,NA,NA,NA,11
Azerbaijan,2012,31.2,NA,NA,NA,11
